Task,T2396,,,,,
Scope 1/1, Sample 1/3 (j1),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-46.3,21.3,NaN,,
0.001,1,-46.4,21.3,0.001,,
0.0025,2,-46.4,21.3,0.0015,,
0.005,3,-46.5,21.3,0.002,,
0.0085,4,-46.4,21.3,0.003,,
0.015,5,-46.4,21.3,0.006,,
0.023,6,-46.1,21.3,0.0075,,
0.0315,7,-45.5,21.3,0.0075,,
0.04,8,-44.6,21.3,0.0075,,
0.0485,9,-43.5,21.3,0.007,,
0.056,10,-42.4,21.3,0.007,,
0.0645,11,-40.9,21.3,0.0075,,
0.073,12,-39.2,21.3,0.0075,,
0.0815,13,-37.5,21.3,0.0075,,
0.0895,14,-35.7,21.3,0.0075,,
0.098,15,-33.9,21.3,0.0075,,
0.106,16,-31.6,21.3,0.0075,,
0.114,17,-29.2,21.3,0.0075,,
0.1225,18,-26.8,21.3,0.0075,,
0.131,19,-24.1,21.3,0.0075,,
0.1395,20,-21.2,21.3,0.0075,,
0.147,21,-18.5,21.3,0.007,,
0.1555,22,-15.8,21.3,0.0075,,
0.164,23,-12.8,21.3,0.0075,,
0.1725,24,-9.8,21.3,0.0075,,
0.181,25,-7.1,21.3,0.0075,,
0.1895,26,-4.3,21.3,0.007,,
0.197,27,-1.6,21.3,0.007,,
0.2055,28,0.2,21.3,0.0075,,
0.2135,29,2.3,21.3,0.0075,,
0.222,30,4.4,21.3,0.0075,,
0.2305,31,5.8,21.3,0.0075,,
0.239,32,7,21.3,0.0075,,
0.2465,33,8.8,21.3,0.007,,
0.255,34,10.5,21.3,0.0075,,
0.2635,35,12.1,21.3,0.0075,,
0.272,36,13.3,21.3,0.0075,,
0.2805,37,14.6,21.3,0.0075,,
0.288,38,15.7,21.3,0.007,,
0.2965,39,16.9,21.3,0.0075,,
0.305,40,18,21.3,0.0075,,
0.3135,41,19.1,21.3,0.0075,,
0.3215,42,20.1,21.3,0.0075,,
0.33,43,21,21.3,0.007,,
0.3375,44,21.9,21.3,0.007,,
0.346,45,22.8,21.3,0.0075,,
0.3545,46,23.9,21.3,0.0075,,
0.363,47,25,21.3,0.0075,,
0.3715,48,26,21.3,0.0075,,
0.38,49,26.8,21.3,0.0075,,
0.3875,50,27.8,21.3,0.007,,
0.396,51,28.7,21.3,0.0075,,
0.4045,52,29.6,21.3,0.0075,,
0.413,53,30.5,21.3,0.0075,,
0.421,54,31.3,21.3,0.0075,,
0.4295,55,32.3,21.3,0.0075,,
0.437,56,33.2,21.3,0.007,,
0.4455,57,34,21.3,0.0075,,
0.454,58,34.7,21.3,0.0075,,
0.4625,59,35.5,21.3,0.0075,,
0.471,60,36.3,21.3,0.0075,,
0.4785,61,37,21.3,0.007,,
0.487,62,37.9,21.3,0.0075,,
0.4955,63,38.7,21.3,0.0075,,
0.504,64,39.6,21.3,0.0075,,
0.512,65,40.3,21.3,0.0075,,
0.5205,66,41,21.3,0.0075,,
0.5285,67,41.7,21.3,0.0075,,
0.5365,68,42.5,21.3,0.0075,,
0.545,69,43.3,21.3,0.0075,,
0.5535,70,44,21.3,0.0075,,
0.562,71,44.7,21.3,0.0075,,
0.5705,72,45.4,21.3,0.0075,,
0.578,73,46.1,21.3,0.007,,
0.5865,74,46.9,21.3,0.0075,,
0.595,75,47.5,21.3,0.0075,,
0.6035,76,48.3,21.3,0.0075,,
0.6115,77,49,21.3,0.0075,,
0.62,78,49.7,21.3,0.0075,,
0.6275,79,50.3,21.3,0.007,,
0.636,80,51.1,21.3,0.0075,,
0.6445,81,51.8,21.3,0.0075,,
0.653,82,52.5,21.3,0.0075,,
0.6615,83,53.3,21.3,0.0075,,
0.67,84,53.9,21.3,0.007,,
0.6775,85,54.7,21.3,0.007,,
0.686,86,55.4,21.3,0.0075,,
0.6945,87,56.1,21.3,0.0075,,
0.703,88,56.8,21.3,0.0075,,
0.7115,89,57.5,21.3,0.0075,,
0.719,90,58.1,21.3,0.007,,
0.7275,91,58.9,21.3,0.0075,,
0.7355,92,59.6,21.3,0.0075,,
0.744,93,60.4,21.3,0.0075,,
0.7525,94,61,21.3,0.0075,,
0.761,95,61.7,21.3,0.007,,
0.7685,96,62.3,21.3,0.007,,
0.777,97,62.9,21.3,0.0075,,
0.7855,98,63.6,21.3,0.0075,,
0.794,99,64.3,21.3,0.0075,,
0.8025,100,65.1,21.3,0.0075,,
0.811,101,65.7,21.3,0.0075,,
0.8185,102,66.7,21.3,0.007,,
0.827,103,67.3,21.3,0.0075,,
0.8355,104,68.1,21.3,0.0075,,
0.8435,105,68.8,21.4,0.0075,,
0.852,106,69.5,21.4,0.0075,,
0.8595,107,70.2,21.4,0.007,,
0.868,108,70.8,21.4,0.0075,,
0.8765,109,71.5,21.4,0.0075,,
0.885,110,72.3,21.4,0.0075,,
0.8935,111,73.1,21.4,0.0075,,
0.902,112,74,21.4,0.0075,,
0.9095,113,74.8,21.4,0.007,,
0.918,114,75.4,21.4,0.0075,,
0.9265,115,76.2,21.4,0.0075,,
0.935,116,77.2,21.4,0.0075,,
0.943,117,77.7,21.4,0.0075,,
0.9515,118,78.5,21.4,0.007,,
0.959,119,79.3,21.4,0.007,,
0.9675,120,80.1,21.4,0.0075,,
0.976,121,81.1,21.4,0.0075,,
0.9845,122,82.1,21.4,0.0075,,
0.993,123,82.7,21.4,0.0075,,
1.0015,124,83.5,21.4,0.0075,,
1.009,125,84.4,21.4,0.007,,
1.0175,126,85.2,21.4,0.0075,,
1.026,127,86.2,21.4,0.0075,,
1.0345,128,87.3,21.4,0.0075,,
1.0425,129,88.3,21.4,0.0075,,
1.0505,130,89.4,21.4,0.0075,,
1.059,131,90.6,21.4,0.0075,,
1.067,132,91.7,21.4,0.0075,,
1.0755,133,92.4,21.4,0.0075,,
1.084,134,93.4,21.4,0.0075,,
1.0925,135,94.6,21.4,0.0075,,
1.1,136,95.4,21.4,0.007,,
1.1085,137,96.6,21.4,0.0075,,
1.117,138,97.8,21.4,0.0075,,
1.1255,139,99.6,21.4,0.0075,,
1.134,140,100.8,21.4,0.0075,,
1.142,141,101.8,21.4,0.0075,,
1.15,142,103,21.4,0.0075,,
1.158,143,104.3,21.4,0.0075,,
1.1665,144,105.7,21.4,0.0075,,
1.175,145,107.1,21.4,0.0075,,
1.1835,146,108.8,21.4,0.0075,,
1.192,147,110.4,21.4,0.0075,,
1.1995,148,111.6,21.4,0.007,,
1.208,149,113.8,21.4,0.0075,,
1.2165,150,116.6,21.4,0.0075,,
1.225,151,118.2,21.4,0.0075,,
1.233,152,119.9,21.4,0.0075,,
1.2415,153,121.8,21.4,0.0075,,
1.249,154,123.7,21.4,0.007,,
1.2575,155,126.3,21.4,0.0075,,
1.266,156,129.4,21.4,0.0075,,
1.2745,157,132.1,21.4,0.0075,,
1.283,158,135.1,21.4,0.0075,,
1.2915,159,138.4,21.4,0.0075,,
1.299,160,141.5,21.4,0.007,,
1.3075,161,144.6,21.4,0.0075,,
1.316,162,147.9,21.4,0.0075,,
1.3245,163,151,21.4,0.0075,,
1.3325,164,154.8,21.4,0.0075,,
1.341,165,157.8,21.4,0.0075,,
1.3485,166,161.3,21.4,0.007,,
1.357,167,164.6,21.4,0.0075,,
1.3655,168,167.2,21.4,0.0075,,
1.374,169,170.1,21.4,0.0075,,
1.3825,170,173,21.4,0.0075,,
1.391,171,174.9,21.4,0.0075,,
1.3985,172,177.9,21.4,0.007,,
1.407,173,180.2,21.4,0.0075,,
1.4155,174,182.3,21.4,0.0075,,
1.424,175,184.3,21.4,0.0075,,
1.429,176,185.1,21.4,0.007,,
1.429,416,189,21.5,0,,
1.4295,417,189,21.5,0.0005,,
1.4315,418,189,21.5,0.002,,
1.4335,419,189,21.5,0.0025,,
1.4375,420,189.1,21.5,0.005,,
1.4435,421,189.3,21.5,0.0075,,
1.4515,422,190,21.5,0.009,,
1.46,423,191.1,21.5,0.0095,,
1.4685,424,192.4,21.5,0.0095,,
1.476,425,193.6,21.5,0.0095,,
1.4845,426,195.2,21.5,0.0105,,
1.493,427,196.4,21.5,0.0105,,
1.501,428,197.5,21.5,0.009,,
1.5095,429,198.7,21.5,0.0095,,
1.518,430,199.8,21.5,0.0095,,
1.5255,431,200.7,21.5,0.0095,,
1.534,432,201.8,21.5,0.0105,,
1.5425,433,202.8,21.5,0.0105,,
1.551,434,203.7,21.5,0.0095,,
1.5595,435,204.4,21.5,0.0095,,
1.568,436,205.3,21.5,0.0095,,
1.5755,437,206.1,21.5,0.0095,,
1.584,438,206.9,21.5,0.0105,,
1.5925,439,207.6,21.5,0.0095,,
1.6005,440,208.6,21.5,0.009,,
1.609,441,209.4,21.5,0.0095,,
1.6175,442,209.9,21.5,0.0095,,
1.625,443,210.7,21.5,0.0095,,
1.6335,444,211.3,21.5,0.0105,,
1.642,445,212,21.5,0.0095,,
1.6505,446,212.6,21.5,0.0095,,
1.659,447,213.4,21.5,0.0095,,
1.6675,448,213.9,21.5,0.0105,,
1.675,449,214.5,21.5,0.0095,,
1.6835,450,215.1,21.5,0.0105,,
1.692,451,215.6,21.5,0.0095,,
1.7,452,216.2,21.5,0.009,,
1.7085,453,216.8,21.5,0.0095,,
1.7165,454,217.2,21.5,0.01,,
1.7245,455,217.8,21.5,0.01,,
1.733,456,218.4,21.5,0.0105,,
1.7415,457,218.9,21.5,0.0095,,
1.75,458,219.5,21.5,0.0095,,
1.7585,459,219.9,21.5,0.0095,,
1.766,460,220.3,21.5,0.0095,,
1.7745,461,220.7,21.5,0.0105,,
1.783,462,221.3,21.5,0.0105,,
1.7915,463,221.8,21.5,0.0095,,
1.7995,464,222.2,21.5,0.009,,
1.808,465,222.6,21.5,0.0095,,
1.8155,466,222.9,21.5,0.0095,,
1.824,467,223.4,21.5,0.0105,,
1.8325,468,223.8,21.5,0.0105,,
1.841,469,224.2,21.5,0.0095,,
1.8495,470,224.6,21.5,0.0095,,
1.858,471,225,21.5,0.0095,,
1.8655,472,225.4,21.5,0.0095,,
1.874,473,225.8,21.6,0.0105,,
1.8825,474,226.2,21.6,0.0095,,
1.891,475,226.5,21.6,0.0095,,
1.899,476,227,21.6,0.009,,
1.9075,477,227.2,21.6,0.0105,,
1.915,478,227.6,21.6,0.0095,,
1.9235,479,228,21.6,0.0105,,
1.932,480,228.4,21.6,0.0095,,
1.9405,481,228.7,21.6,0.0095,,
1.949,482,229,21.6,0.0095,,
1.9565,483,229.3,21.6,0.0095,,
1.965,484,229.6,21.6,0.0105,,
1.9735,485,229.9,21.6,0.0105,,
1.982,486,230.3,21.6,0.0095,,
1.9905,487,230.6,21.6,0.0095,,
1.9985,488,231,21.6,0.009,,
2.0065,489,231.3,21.6,0.01,,
2.0145,490,231.6,21.6,0.01,,
2.023,491,231.9,21.6,0.0105,,
2.0315,492,232.2,21.6,0.0095,,
2.04,493,232.5,21.6,0.0095,,
2.0485,494,232.8,21.6,0.0095,,
2.056,495,233.1,21.6,0.0095,,
2.0645,496,233.3,21.6,0.0105,,
2.073,497,233.7,21.6,0.0105,,
2.0805,498,233.9,21.6,0.0085,,
2.0885,499,234.2,21.6,0.009,,
2.0925,500,234.4,21.6,0.0045,,
2.094,501,234.5,21.6,0.002,,
2.0945,502,234.7,21.6,0.0005,,
2.0955,503,234.7,21.6,0.001,,
2.097,504,234.7,21.6,0.0015,,
2.0995,505,234.7,21.6,0.003,,
2.1025,506,234.9,21.6,0.0035,,
2.1065,507,235,21.6,0.005,,
2.112,508,235,21.6,0.006,,
Scope 1/1, Sample 2/3 (j2),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-45.2,21.4,NaN,,
0.001,1,-45.2,21.4,0.001,,
0.0025,2,-45.3,21.4,0.0015,,
0.005,3,-45.3,21.4,0.0025,,
0.009,4,-45.3,21.4,0.0035,,
0.015,5,-45.2,21.4,0.0055,,
0.0235,6,-44.9,21.4,0.0075,,
0.032,7,-44.1,21.4,0.0075,,
0.0405,8,-42.9,21.4,0.0085,,
0.048,9,-41.5,21.4,0.007,,
0.0565,10,-39.9,21.4,0.0075,,
0.065,11,-38,21.4,0.0075,,
0.073,12,-36.2,21.4,0.0075,,
0.0815,13,-34.1,21.4,0.0075,,
0.09,14,-32.3,21.4,0.0085,,
0.0975,15,-30,21.4,0.007,,
0.106,16,-27.6,21.4,0.0075,,
0.1145,17,-25,21.4,0.0075,,
0.123,18,-22.1,21.4,0.0075,,
0.1315,19,-19.1,21.4,0.0075,,
0.14,20,-16.1,21.4,0.0075,,
0.1475,21,-13.5,21.4,0.007,,
0.156,22,-10.4,21.4,0.0075,,
0.164,23,-7.5,21.4,0.0075,,
0.1725,24,-4.8,21.4,0.0075,,
0.181,25,-1.8,21.4,0.0075,,
0.1895,26,0.2,21.4,0.0085,,
0.197,27,1.9,21.4,0.007,,
0.2055,28,3.8,21.4,0.0075,,
0.214,29,5.5,21.4,0.0075,,
0.2225,30,6.7,21.4,0.0075,,
0.231,31,8.1,21.4,0.0075,,
0.2395,32,9.4,21.4,0.0085,,
0.247,33,10.9,21.4,0.007,,
0.2555,34,12.3,21.4,0.0075,,
0.2635,35,13.6,21.4,0.0075,,
0.272,36,14.8,21.4,0.0075,,
0.2805,37,15.9,21.4,0.0075,,
0.288,38,16.8,21.4,0.0075,,
0.2965,39,17.9,21.4,0.0075,,
0.305,40,18.9,21.4,0.0075,,
0.3135,41,19.9,21.4,0.0075,,
0.322,42,20.9,21.4,0.0075,,
0.3305,43,21.9,21.4,0.0075,,
0.3385,44,22.9,21.4,0.008,,
0.3465,45,23.8,21.4,0.0075,,
0.3545,46,24.8,21.4,0.0075,,
0.363,47,25.7,21.4,0.0075,,
0.3715,48,26.6,21.4,0.0075,,
0.38,49,27.6,21.4,0.0075,,
0.3885,50,28.4,21.4,0.0075,,
0.396,51,29.2,21.4,0.007,,
0.4045,52,30,21.4,0.0075,,
0.413,53,30.9,21.4,0.0075,,
0.4215,54,31.9,21.4,0.0075,,
0.4295,55,32.7,21.4,0.0075,,
0.438,56,33.5,21.4,0.0075,,
0.4455,57,34.2,21.4,0.007,,
0.454,58,35.1,21.4,0.0075,,
0.4625,59,35.9,21.4,0.0075,,
0.471,60,36.8,21.4,0.0075,,
0.4795,61,37.5,21.4,0.0075,,
0.488,62,38.3,21.4,0.0075,,
0.4955,63,39,21.4,0.007,,
0.504,64,39.8,21.4,0.0075,,
0.5125,65,40.5,21.4,0.0075,,
0.5205,66,41.4,21.4,0.0075,,
0.529,67,42.1,21.4,0.0075,,
0.5375,68,42.8,21.4,0.0075,,
0.545,69,43.5,21.4,0.0075,,
0.5535,70,44.3,21.4,0.0075,,
0.562,71,44.9,21.4,0.0075,,
0.5705,72,45.6,21.4,0.0075,,
0.579,73,46.4,21.4,0.0075,,
0.5875,74,47,21.4,0.0075,,
0.595,75,47.7,21.4,0.0075,,
0.6035,76,48.4,21.4,0.0075,,
0.6115,77,49.1,21.4,0.0075,,
0.62,78,49.9,21.4,0.0075,,
0.6285,79,50.6,21.4,0.0075,,
0.637,80,51.4,21.4,0.0075,,
0.6445,81,52,21.4,0.007,,
0.653,82,52.7,21.4,0.0075,,
0.6615,83,53.4,21.4,0.0075,,
0.67,84,54.2,21.4,0.0075,,
0.6785,85,55.1,21.4,0.0075,,
0.6865,86,55.6,21.4,0.008,,
0.6945,87,56.3,21.4,0.0075,,
0.703,88,56.9,21.4,0.0075,,
0.711,89,57.5,21.4,0.0075,,
0.7195,90,58.3,21.4,0.0075,,
0.728,91,59.1,21.4,0.0075,,
0.7365,92,59.8,21.4,0.0085,,
0.744,93,60.5,21.4,0.007,,
0.7525,94,61.2,21.4,0.0075,,
0.761,95,61.9,21.4,0.0075,,
0.7695,96,62.6,21.4,0.0075,,
0.7775,97,63.2,21.4,0.0075,,
0.786,98,63.9,21.4,0.0075,,
0.794,99,64.5,21.4,0.0075,,
0.802,100,65.2,21.4,0.0075,,
0.8105,101,65.9,21.4,0.0075,,
0.819,102,66.7,21.4,0.0075,,
0.8275,103,67.5,21.4,0.007,,
0.836,104,68.2,21.4,0.0085,,
0.8435,105,68.9,21.4,0.007,,
0.852,106,69.7,21.4,0.0075,,
0.8605,107,70.5,21.4,0.0075,,
0.869,108,71,21.4,0.0075,,
0.877,109,71.8,21.4,0.0075,,
0.8855,110,72.5,21.4,0.0075,,
0.893,111,73.3,21.4,0.0075,,
0.9015,112,74,21.4,0.0075,,
0.91,113,74.8,21.4,0.0075,,
0.9185,114,75.6,21.4,0.0075,,
0.927,115,76.6,21.4,0.0075,,
0.9355,116,77.6,21.4,0.0075,,
0.943,117,78.2,21.4,0.0075,,
0.9515,118,79,21.4,0.0075,,
0.9595,119,79.9,21.4,0.0075,,
0.968,120,80.6,21.4,0.0075,,
0.9765,121,81.3,21.4,0.0075,,
0.985,122,82.3,21.4,0.0075,,
0.9935,123,83.1,21.4,0.0085,,
1.001,124,83.9,21.4,0.007,,
1.0095,125,84.7,21.4,0.0075,,
1.018,126,85.6,21.4,0.0075,,
1.0265,127,86.8,21.4,0.0075,,
1.0345,128,87.7,21.4,0.0075,,
1.0425,129,88.5,21.4,0.008,,
